from,to,kat1a_rsd,kat1_rsd,kat2_rsd,kat3_rsd,kat4_rsd,kat1a_eur,kat1_eur,kat2_eur,kat3_eur,kat4_eur
"Subotica","Žednik",60,110,170,340,680,1,1,1.5,3,6
"Subotica","Bačka Topola",90,180,270,540,1080,1,2,2.5,5,9.5
"Subotica","Feketić",150,290,440,880,1760,1.5,2.5,4,8,15.5
"Subotica","Vrbas",170,350,520,1040,2090,1.5,3,4.5,9,18
"Subotica","Zmajevo",210,420,630,1250,2510,2,4,5.5,11,21.5
"Subotica","Novi Sad",250,510,760,1520,3050,2.5,4.5,6.5,13,26.5
"Subotica","Kovilj",310,610,920,1840,3680,3,5.5,8,16,31.5
"Subotica","Beška",350,700,1050,2100,4210,3,6,9,18,36
"Subotica","Inđija",380,750,1130,2260,4510,3.5,6.5,10,19.5,39
"Subotica","Beograd",420,850,1270,2540,5090,4,7.5,11,22,43.5
"Subotica","Mali Požarevac",470,950,1420,2840,5700,4.5,8.5,12.5,25,49
"Subotica","Umčari",490,990,1470,2950,5910,5,9,13,26,51
"Subotica","Vodanj",500,1020,1520,3050,6100,5,9,13.5,26.5,52.5
"Subotica","Kolari",520,1050,1570,3150,6310,5,9.5,14,27.5,54
"Subotica","Smederevo",540,1080,1620,3240,6490,5.5,9.5,14,28,55.5
"Subotica","Požarevac",540,1090,1630,3270,6540,5.5,10,14.5,28.5,56
"Subotica","Velika Plana",620,1250,1870,3740,7490,6,11,16.5,32.5,64.5
"Subotica","Markovac",650,1310,1960,3930,7870,6,11.5,17,34,67.5
"Subotica","Lapovo",670,1350,2020,4030,8080,6.5,12,17.5,35,69.5
"Subotica","Batočina",680,1370,2050,4100,8200,6.5,12,18,35.5,70.5
"Subotica","Jagodina",740,1490,2230,4450,8920,7,13,19.5,38.5,76.5
"Subotica","Ćuprija",770,1560,2330,4670,9350,7,14,20.5,40.5,80
"Subotica","Paraćin",800,1620,2420,4840,9700,7.5,14.5,21,42,83
"Subotica","Ćićevac",850,1710,2560,5110,10230,8,15,22.5,44,87.5
"Subotica","Ražanj",870,1750,2630,5250,10510,8,15.5,23,45.5,90
"Subotica","Aleksinački Rudnici",930,1870,2800,5600,11200,8.5,16.5,24.5,48.5,96
"Subotica","Aleksinac",940,1900,2840,5680,11360,8.5,16.5,24.5,49,97.5
"Subotica","Niš jug",1010,2030,3040,6080,12170,9.5,18,26.5,52.5,104
"Subotica","Doljevac",1050,2120,3170,6350,12710,10,19,28,55,109
"Subotica","Brestovac",1070,2150,3220,6450,12900,10.5,19.5,28.5,56,110.5
"Subotica","Leskovac centar",1090,2190,3280,6570,13140,10.5,19.5,29,57,112.5
"Subotica","Leskovac jug",1130,2280,3410,6830,13670,11,20.5,30,59,117
"Subotica","Grdelica",1170,2340,3510,7010,14040,11,21,31,60.5,120
"Subotica","Predejane",1210,2430,3640,7280,14570,11.5,21.5,32,63,125
"Subotica","Vladičin Han",1280,2570,3850,7700,15410,12,23,33.5,66.5,132
"Subotica","Vranje",1340,2700,4040,8080,16180,12.5,24,35.5,70,138.5
"Subotica","Bujanovac sever",1380,2770,4150,8310,16630,13,24.5,36,72,142.5
"Subotica","Bujanovac jug",1390,2790,4190,8370,16750,13,24.5,36.5,72.5,143.5
"Subotica","Preševo",1450,2910,4350,8710,17430,13.5,26,38,75,149
"Subotica","Dimitrovgrad",1320,2650,3980,7950,15920,12,23,34.5,68.5,136.5
"Subotica","Šid",680,1370,2050,4100,8210,6.5,12,18,35.5,70.5
"Subotica","Adaševci",420,850,1270,2540,5090,4,7.5,11,22,43.5
"Subotica","Kuzmin",620,1250,1860,3730,7460,6,11,16.5,32.5,64
"Subotica","Sremska Mitrovica",560,1130,1690,3370,6760,5.5,10,15,29.5,58
"Subotica","Ruma",530,1060,1590,3180,6360,5,9.5,14,27.5,54.5
"Subotica","Pećinci",490,990,1480,2960,5930,5,9,13,26,51
"Subotica","Takovo",690,1390,2080,4160,8330,6.5,12.5,18,36,71.5
"Subotica","Preljina jug",750,1510,2260,4520,9040,7,13.5,19.5,39,77.5
"Subotica","Obrenovac",420,850,1270,2540,5090,4,7.5,11,22,43.5
"Subotica","Ub",490,1000,1490,2980,5970,5,9,13,26,51.5
"Subotica","Lajkovac",530,1070,1610,3210,6440,5,9.5,14,28,55.5
"Subotica","Ljig",600,1210,1810,3620,7250,6,11,16,31.5,62
"Subotica","Merošina",1030,2060,3090,6170,12360,9.5,18,27,53.5,106
"Subotica","Niš sever",1010,2020,3030,6060,12130,9.5,17.5,26.5,52.5,104
"Subotica","Niš istok",1030,2060,3090,6170,12350,9.5,18,27,53.5,106
"Subotica","Niš Malča",1050,2100,3150,6290,12600,9.5,18.5,27.5,54.5,108
"Subotica","Bela Palanka",1140,2280,3420,6840,13690,10.5,20,29.5,59,117
"Subotica","Pirot zapad",1210,2420,3630,7260,14530,11,21,31.5,62.5,124.5
"Subotica","Pirot istok",980,2490,3730,7470,14950,11.5,22,32.5,64.5,128
"Subotica","Čačak (Pakovraće)",780,1570,2350,4700,9400,7.5,14,20.5,40.5,80.5
"Subotica","Hrtkovci",560,1130,1690,3370,6760,5.5,10,15,29.5,58
"Subotica","Šabac",600,1200,1800,3600,7210,6,10.5,16,31.5,62
"Subotica","Kruševac istok",900,1810,2710,5420,10850,8.5,16,23.5,47,93
"Subotica","Kruševac zapad",900,1820,2720,5450,10910,8.5,16,23.5,47,93.5
"Subotica","Koševi",920,1850,2780,5550,11110,8.5,8.5,24,48,95
"Subotica","Velika Drenova",940,1900,2840,5680,11360,8.5,16.5,24.5,49,97.5
"Subotica","Trstenik",980,1970,2950,5910,11830,9,17.5,25.5,51,101.5
"Subotica","Vrnjačka Banja",1010,2040,3050,6100,12220,9.5,18,26.5,52.5,104.5
"Subotica","Lučani",850,1710,2560,5120,10250,8,15,22.5,44.5,88
"Subotica","Prilipac",900,1800,2700,5400,10810,8.5,16,23.5,46.5,92.5
"Subotica","Vrba",1050,2110,3170,6330,12670,9.5,18.5,27.5,54.5,108.5
"Subotica","Adrani",830,1660,2490,4970,9960,8,14.5,21.5,43,85.5
"Žednik","Subotica",60,110,170,340,680,1,1,1.5,3,6
"Žednik","Bačka Topola",30,70,100,200,400,0.5,1,1,2,3.5
"Žednik","Feketić",90,180,270,540,1080,1,2,2.5,5,9.5
"Žednik","Vrbas",120,230,350,700,1410,1.5,2,3,6,12.5
"Žednik","Zmajevo",150,310,460,920,1830,1.5,3,4,8,16
"Žednik","Novi Sad",200,390,590,1180,2370,2,3.5,5.5,10.5,20.5
"Žednik","Kovilj",250,500,750,1500,3000,2.5,4.5,6.5,13,26
"Žednik","Beška",290,590,880,1770,3530,2.5,5.5,8,15.5,30.5
"Žednik","Inđija",320,640,960,1920,3830,3,5.5,8.5,16.5,33
"Žednik","Beograd",370,730,1100,2200,4410,3.5,6.5,9.5,19,38
"Žednik","Mali Požarevac",420,830,1250,2500,5020,4,7.5,11,22,43.5
"Žednik","Umčari",440,870,1300,2610,5230,4.5,8,11.5,23,45.5
"Žednik","Vodanj",450,900,1350,2710,5420,4.5,8,12,23.5,47
"Žednik","Kolari",470,930,1400,2810,5630,4.5,8.5,12.5,24.5,48.5
"Žednik","Smederevo",490,960,1450,2900,5810,5,8.5,12.5,25,50
"Žednik","Požarevac",490,970,1460,2930,5860,5,9,13,25.5,50.5
"Žednik","Velika Plana",570,1130,1700,3400,6810,5.5,10,15,29.5,59
"Žednik","Markovac",600,1190,1790,3590,7190,5.5,10.5,15.5,31,62
"Žednik","Lapovo",620,1230,1850,3690,7400,6,11,16,32,64
"Žednik","Batočina",630,1250,1880,3760,7520,6,11,16.5,32.5,65
"Žednik","Jagodina",690,1370,2060,4110,8240,6.5,12,18,35.5,71
"Žednik","Ćuprija",720,1440,2160,4330,8670,6.5,13,19,37.5,74.5
"Žednik","Paraćin",750,1500,2250,4500,9020,7,13.5,19.5,39,77.5
"Žednik","Ćićevac",800,1590,2390,4770,9550,7.5,14,21,41,82
"Žednik","Ražanj",820,1630,2460,4910,9830,7.5,14.5,21.5,42.5,84.5
"Žednik","Aleksinački Rudnici",880,1750,2630,5260,10520,8,15.5,23,45.5,90.5
"Žednik","Aleksinac",890,1780,2670,5340,10680,8,15.5,23,46,92
"Žednik","Niš jug",960,1910,2870,5740,11490,9,17,25,49.5,98.5
"Žednik","Doljevac",1000,2000,3000,6010,12030,9.5,18,26.5,52,103.5
"Žednik","Brestovac",1020,2030,3050,6110,12220,10,18.5,27,53,105
"Žednik","Leskovac centar",1040,2070,3110,6230,12460,10,18.5,27.5,54,107
"Žednik","Leskovac jug",1080,2160,3240,6490,12990,10.5,19.5,28.5,56,111.5
"Žednik","Grdelica",1120,2220,3340,6670,13360,10.5,20,29.5,57.5,114.5
"Žednik","Predejane",1160,2310,3470,6940,13890,11,20.5,30.5,60,119.5
"Žednik","Vladičin Han",1230,2450,3680,7360,14730,11.5,22,32,63.5,126.5
"Žednik","Vranje",1290,2580,3870,7740,15500,12,23,34,67,133
"Žednik","Bujanovac sever",1330,2650,3980,7970,15950,12.5,23.5,34.5,69,137
"Žednik","Bujanovac jug",1340,2670,4020,8030,16070,12.5,23.5,35,69.5,138
"Žednik","Preševo",1400,2790,4180,8370,16750,13,25,36.5,72,143.5
"Žednik","Dimitrovgrad",1270,2530,3810,7610,15240,11.5,22,33,65.5,131
"Žednik","Šid",630,1250,1880,3760,7530,6,11,16.5,32.5,65
"Žednik","Adaševci",370,730,1100,2200,4410,3.5,6.5,9.5,19,38
"Žednik","Kuzmin",570,1130,1690,3390,6780,5.5,10,15,29.5,58.5
"Žednik","Sremska Mitrovica",510,1010,1520,3030,6080,5,9,13.5,26.5,52.5
"Žednik","Ruma",480,940,1420,2840,5680,4.5,8.5,12.5,24.5,49
"Žednik","Pećinci",440,870,1310,2620,5250,4.5,8,11.5,23,45.5
"Žednik","Takovo",640,1270,1910,3820,7650,6,11.5,16.5,33,66
"Žednik","Preljina jug",700,1390,2090,4180,8360,6.5,12.5,18,36,72
"Žednik","Obrenovac",370,730,1100,2200,4410,3.5,6.5,9.5,19,38
"Žednik","Ub",440,880,1320,2640,5290,4.5,8,11.5,23,46
"Žednik","Lajkovac",480,950,1440,2870,5760,4.5,8.5,12.5,25,50
"Žednik","Ljig",550,1090,1640,3280,6570,5.5,10,14.5,28.5,56.5
"Žednik","Merošina",980,1940,2920,5830,11680,9,17,25.5,50.5,100.5
"Žednik","Niš sever",960,1900,2860,5720,11450,9,16.5,25,49.5,98.5
"Žednik","Niš istok",980,1940,2920,5830,11670,9,17,25.5,50.5,100.5
"Žednik","Niš Malča",1000,1980,2980,5950,11920,9,17.5,26,51.5,102.5
"Žednik","Bela Palanka",1090,2160,3250,6500,13010,10,19,28,56,111.5
"Žednik","Pirot zapad",1160,2300,3460,6920,13850,10.5,20,30,59.5,119
"Žednik","Pirot istok",1190,2370,3560,7130,14270,11,21,31,61.5,122.5
"Žednik","Čačak (Pakovraće)",730,1450,2180,4360,8720,7,13,19,37.5,75
"Žednik","Hrtkovci",510,1010,1520,3030,6080,5,9,13.5,26.5,52.5
"Žednik","Šabac",550,1080,1630,3260,6530,5.5,9.5,14.5,28.5,56.5
"Žednik","Kruševac istok",850,1690,2540,5080,10170,8,15,22,44,87.5
"Žednik","Kruševac zapad",850,1700,2550,5110,10230,8,15,22,44,88
"Žednik","Koševi",870,1730,2610,5210,10430,8,7.5,22.5,45,89.5
"Žednik","Velika Drenova",890,1780,2670,5340,10680,8,15.5,23,46,92
"Žednik","Trstenik",930,1850,2780,5570,11150,8.5,16.5,24,48,96
"Žednik","Vrnjačka Banja",960,1920,2880,5760,11540,9,17,25,49.5,99
"Žednik","Lučani",800,1590,2390,4780,9570,7.5,14,21,41.5,82.5
"Žednik","Prilipac",850,1680,2530,5060,10130,8,15,22,43.5,87
"Žednik","Vrba",1000,1990,3000,5990,11990,9,17.5,26,51.5,103
"Žednik","Adrani",780,1540,2320,4630,9280,7.5,13.5,20,40,80
"Bačka Topola","Subotica",90,180,270,540,1080,1,2,2.5,5,9.5
"Bačka Topola","Žednik",30,70,100,200,400,0.5,1,1,2,3.5
"Bačka Topola","Feketić",60,110,170,340,680,1,1,1.5,3,6
"Bačka Topola","Vrbas",80,170,250,500,1000,1,1.5,2.5,4.5,9
"Bačka Topola","Zmajevo",120,240,360,710,1430,1.5,2.5,3.5,6.5,12.5
"Bačka Topola","Novi Sad",160,330,490,980,1960,1.5,3,4.5,8.5,17
"Bačka Topola","Kovilj",220,430,650,1300,2600,2,4,6,11.5,22.5
"Bačka Topola","Beška",260,520,780,1560,3130,2.5,4.5,7,13.5,27
"Bačka Topola","Inđija",290,570,860,1710,3430,2.5,5,7.5,15,29.5
"Bačka Topola","Beograd",330,670,1000,2000,4000,3,6,9,17.5,34.5
"Bačka Topola","Mali Požarevac",380,770,1150,2300,4610,3.5,7,10.5,20.5,40
"Bačka Topola","Umčari",400,810,1200,2410,4820,4,7.5,11,21.5,42
"Bačka Topola","Vodanj",410,840,1250,2510,5010,4,7.5,11.5,22,43.5
"Bačka Topola","Kolari",430,870,1300,2610,5220,4,8,12,23,45
"Bačka Topola","Smederevo",450,900,1350,2700,5400,4.5,8,12,23.5,46.5
"Bačka Topola","Požarevac",450,910,1360,2730,5450,4.5,8.5,12.5,24,47
"Bačka Topola","Velika Plana",530,1070,1600,3200,6400,5,9.5,14.5,28,55.5
"Bačka Topola","Markovac",560,1130,1690,3390,6780,5,10,15,29.5,58.5
"Bačka Topola","Lapovo",580,1170,1750,3490,6990,5.5,10.5,15.5,30.5,60.5
"Bačka Topola","Batočina",590,1190,1780,3560,7110,5.5,10.5,16,31,61.5
"Bačka Topola","Jagodina",650,1310,1960,3910,7830,6,11.5,17.5,34,67.5
"Bačka Topola","Ćuprija",680,1380,2060,4130,8260,6,12.5,18.5,36,71
"Bačka Topola","Paraćin",710,1440,2150,4300,8610,6.5,13,19,37.5,74
"Bačka Topola","Ćićevac",760,1530,2290,4570,9140,7,13.5,20.5,39.5,78.5
"Bačka Topola","Ražanj",780,1570,2360,4710,9420,7,14,21,41,81
"Bačka Topola","Aleksinački Rudnici",840,1690,2530,5060,10110,7.5,15,22.5,44,87
"Bačka Topola","Aleksinac",850,1720,2570,5140,10270,7.5,15,22.5,44.5,88.5
"Bačka Topola","Niš jug",920,1850,2770,5540,11080,8.5,16.5,24.5,48,95
"Bačka Topola","Doljevac",960,1940,2900,5810,11620,9,17.5,26,50.5,100
"Bačka Topola","Brestovac",980,1970,2950,5910,11810,9.5,18,26.5,51.5,101.5
"Bačka Topola","Leskovac centar",1000,2010,3010,6030,12050,9.5,18,27,52.5,103.5
"Bačka Topola","Leskovac jug",1040,2100,3140,6290,12580,10,19,28,54.5,108
"Bačka Topola","Grdelica",1080,2160,3240,6470,12950,10,19.5,29,56,111
"Bačka Topola","Predejane",1120,2250,3370,6740,13480,10.5,20,30,58.5,116
"Bačka Topola","Vladičin Han",1190,2390,3580,7160,14320,11,21.5,31.5,62,123
"Bačka Topola","Vranje",1250,2520,3770,7540,15090,11.5,22.5,33.5,65.5,129.5
"Bačka Topola","Bujanovac sever",1290,2590,3880,7770,15540,12,23,34,67.5,133.5
"Bačka Topola","Bujanovac jug",1300,2610,3920,7830,15660,12,23,34.5,68,134.5
"Bačka Topola","Preševo",1360,2730,4080,8170,16340,12.5,24.5,36,70.5,140
"Bačka Topola","Dimitrovgrad",1230,2470,3710,7410,14830,11,21.5,32.5,64,127.5
"Bačka Topola","Šid",590,1190,1780,3560,7120,5.5,10.5,16,31,61.5
"Bačka Topola","Adaševci",330,670,1000,2000,4000,3,6,9,17.5,34.5
"Bačka Topola","Kuzmin",530,1070,1590,3190,6370,5,9.5,14.5,28,55
"Bačka Topola","Sremska Mitrovica",470,950,1420,2830,5670,4.5,8.5,13,25,49
"Bačka Topola","Ruma",440,880,1320,2640,5270,4,8,12,23,45.5
"Bačka Topola","Pećinci",400,810,1210,2420,4840,4,7.5,11,21.5,42
"Bačka Topola","Takovo",600,1210,1810,3620,7240,5.5,11,16,31.5,62.5
"Bačka Topola","Preljina jug",660,1330,1990,3980,7950,6,12,17.5,34.5,68.5
"Bačka Topola","Obrenovac",330,670,1000,2000,4000,3,6,9,17.5,34.5
"Bačka Topola","Ub",400,820,1220,2440,4880,4,7.5,11,21.5,42.5
"Bačka Topola","Lajkovac",440,890,1340,2670,5350,4,8,12,23.5,46.5
"Bačka Topola","Ljig",510,1030,1540,3080,6160,5,9.5,14,27,53
"Bačka Topola","Merošina",940,1880,2820,5630,11270,8.5,16.5,25,49,97
"Bačka Topola","Niš sever",920,1840,2760,5520,11040,8.5,16,24.5,48,95
"Bačka Topola","Niš istok",940,1880,2820,5630,11260,8.5,16.5,25,49,97
"Bačka Topola","Niš Malča",960,1920,2880,5750,11510,8.5,17,25.5,50,99
"Bačka Topola","Bela Palanka",1050,2100,3150,6300,12600,9.5,18.5,27.5,54.5,108
"Bačka Topola","Pirot zapad",1120,2240,3360,6720,13440,10,19.5,29.5,58,115.5
"Bačka Topola","Pirot istok",1150,2310,3460,6930,13860,10.5,20.5,30.5,60,119
"Bačka Topola","Čačak (Pakovraće)",690,1390,2080,4160,8310,6.5,12.5,18.5,36,71.5
"Bačka Topola","Hrtkovci",470,950,1420,2830,5670,4.5,8.5,13,25,49
"Bačka Topola","Šabac",510,1020,1530,3060,6120,5,9,14,27,53
"Bačka Topola","Kruševac istok",810,1630,2440,4880,9760,7.5,14.5,21.5,42.5,84
"Bačka Topola","Kruševac zapad",810,1640,2450,4910,9820,7.5,14.5,21.5,42.5,84.5
"Bačka Topola","Koševi",830,1670,2510,5010,10020,7.5,7,22,43.5,86
"Bačka Topola","Velika Drenova",850,1720,2570,5140,10270,7.5,15,22.5,44.5,88.5
"Bačka Topola","Trstenik",890,1790,2680,5370,10740,8,16,23.5,46.5,92.5
"Bačka Topola","Vrnjačka Banja",920,1860,2780,5560,11130,8.5,16.5,24.5,48,95.5
"Bačka Topola","Lučani",760,1530,2290,4580,9160,7,13.5,20.5,40,79
"Bačka Topola","Prilipac",810,1620,2430,4860,9720,7.5,14.5,21.5,42,83.5
"Bačka Topola","Vrba",960,1930,2900,5790,11580,8.5,17,25.5,50,99.5
"Bačka Topola","Adrani",740,1480,2220,4430,8870,7,13,19.5,38.5,76.5
"Feketić","Subotica",150,290,440,880,1760,1.5,2.5,4,8,15.5
"Feketić","Žednik",90,180,270,540,1080,1,2,2.5,5,9.5
"Feketić","Bačka Topola",60,110,170,340,680,1,1,1.5,3,6
"Feketić","Vrbas",30,50,80,160,330,0.5,0.5,1,1.5,3
"Feketić","Zmajevo",60,130,190,380,750,1,1.5,2,3.5,6.5
"Feketić","Novi Sad",110,210,320,640,1290,1,2,3,5.5,11.5
"Feketić","Kovilj",160,320,480,960,1920,1.5,3,4.5,8.5,16.5
"Feketić","Beška",200,410,610,1230,2450,2,4,5.5,11,21
"Feketić","Inđija",230,460,690,1380,2750,2,4,6,12,23.5
"Feketić","Beograd",280,550,830,1660,3330,2.5,5,7.5,14.5,28.5
"Feketić","Mali Požarevac",330,650,980,1960,3940,3,6,9,17.5,34
"Feketić","Umčari",350,690,1030,2070,4150,3.5,6.5,9.5,18.5,36
"Feketić","Vodanj",360,720,1080,2170,4340,3.5,6.5,10,19,37.5
"Feketić","Kolari",380,750,1130,2270,4550,3.5,7,10.5,20,39
"Feketić","Smederevo",400,780,1180,2360,4730,4,7,10.5,20.5,40.5
"Feketić","Požarevac",400,790,1190,2390,4780,4,7.5,11,21,41
"Feketić","Velika Plana",480,950,1430,2860,5730,4.5,8.5,13,25,49.5
"Feketić","Markovac",510,1010,1520,3050,6110,4.5,9,13.5,26.5,52.5
"Feketić","Lapovo",530,1050,1580,3150,6320,5,9.5,14,27.5,54.5
"Feketić","Batočina",540,1070,1610,3220,6440,5,9.5,14.5,28,55.5
"Feketić","Jagodina",600,1190,1790,3570,7160,5.5,10.5,16,31,61.5
"Feketić","Ćuprija",630,1260,1890,3790,7590,5.5,11.5,17,33,65
"Feketić","Paraćin",660,1320,1980,3960,7940,6,12,17.5,34.5,68
"Feketić","Ćićevac",710,1410,2120,4230,8470,6.5,12.5,19,36.5,72.5
"Feketić","Ražanj",730,1450,2190,4370,8750,6.5,13,19.5,38,75
"Feketić","Aleksinački Rudnici",790,1570,2360,4720,9440,7,14,21,41,81
"Feketić","Aleksinac",800,1600,2400,4800,9600,7,14,21,41.5,82.5
"Feketić","Niš jug",870,1730,2600,5200,10410,8,15.5,23,45,89
"Feketić","Doljevac",910,1820,2730,5470,10950,8.5,16.5,24.5,47.5,94
"Feketić","Brestovac",930,1850,2780,5570,11140,9,17,25,48.5,95.5
"Feketić","Leskovac centar",950,1890,2840,5690,11380,9,17,25.5,49.5,97.5
"Feketić","Leskovac jug",990,1980,2970,5950,11910,9.5,18,26.5,51.5,102
"Feketić","Grdelica",1030,2040,3070,6130,12280,9.5,18.5,27.5,53,105
"Feketić","Predejane",1070,2130,3200,6400,12810,10,19,28.5,55.5,110
"Feketić","Vladičin Han",1140,2270,3410,6820,13650,10.5,20.5,30,59,117
"Feketić","Vranje",1200,2400,3600,7200,14420,11,21.5,32,62.5,123.5
"Feketić","Bujanovac sever",1240,2470,3710,7430,14870,11.5,22,32.5,64.5,127.5
"Feketić","Bujanovac jug",1250,2490,3750,7490,14990,11.5,22,33,65,128.5
"Feketić","Preševo",1310,2610,3910,7830,15670,12,23.5,34.5,67.5,134
"Feketić","Dimitrovgrad",1180,2350,3540,7070,14160,10.5,20.5,31,61,121.5
"Feketić","Šid",540,1070,1610,3220,6450,5,9.5,14.5,28,55.5
"Feketić","Adaševci",280,550,830,1660,3330,2.5,5,7.5,14.5,28.5
"Feketić","Kuzmin",480,950,1420,2850,5700,4.5,8.5,13,25,49
"Feketić","Sremska Mitrovica",420,830,1250,2490,5000,4,7.5,11.5,22,43
"Feketić","Ruma",390,760,1150,2300,4600,3.5,7,10.5,20,39.5
"Feketić","Pećinci",350,690,1040,2080,4170,3.5,6.5,9.5,18.5,36
"Feketić","Takovo",550,1090,1640,3280,6570,5,10,14.5,28.5,56.5
"Feketić","Preljina jug",610,1210,1820,3640,7280,5.5,11,16,31.5,62.5
"Feketić","Obrenovac",280,550,830,1660,3330,2.5,5,7.5,14.5,28.5
"Feketić","Ub",350,700,1050,2100,4210,3.5,6.5,9.5,18.5,36.5
"Feketić","Lajkovac",390,770,1170,2330,4680,3.5,7,10.5,20.5,40.5
"Feketić","Ljig",460,910,1370,2740,5490,4.5,8.5,12.5,24,47
"Feketić","Merošina",890,1760,2650,5290,10600,8,15.5,23.5,46,91
"Feketić","Niš sever",870,1720,2590,5180,10370,8,15,23,45,89
"Feketić","Niš istok",890,1760,2650,5290,10590,8,15.5,23.5,46,91
"Feketić","Niš Malča",910,1800,2710,5410,10840,8,16,24,47,93
"Feketić","Bela Palanka",1000,1980,2980,5960,11930,9,17.5,26,51.5,102
"Feketić","Pirot zapad",1070,2120,3190,6380,12770,9.5,18.5,28,55,109.5
"Feketić","Pirot istok",1100,2190,3290,6590,13190,10,19.5,29,57,113
"Feketić","Čačak (Pakovraće)",640,1270,1910,3820,7640,6,11.5,17,33,65.5
"Feketić","Hrtkovci",560,1130,1690,3370,6760,5.5,10,15,29.5,58
"Feketić","Šabac",460,900,1360,2720,5450,4.5,8,12.5,24,47
"Feketić","Kruševac istok",760,1510,2270,4540,9090,7,13.5,20,39.5,78
"Feketić","Kruševac zapad",760,1520,2280,4570,9150,7,13.5,20,39.5,78.5
"Feketić","Koševi",780,1550,2340,4670,9350,7,6,20.5,40.5,80
"Feketić","Velika Drenova",800,1600,2400,4800,9600,7,14,21,41.5,82.5
"Feketić","Trstenik",840,1670,2510,5030,10070,7.5,15,22,43.5,86.5
"Feketić","Vrnjačka Banja",870,1740,2610,5220,10460,8,15.5,23,45,89.5
"Feketić","Lučani",710,1410,2120,4240,8490,6.5,12.5,19,37,73
"Feketić","Prilipac",760,1500,2260,4520,9050,7,13.5,20,39,77.5
"Feketić","Vrba",910,1810,2730,5450,10910,8,16,24,47,93.5
"Feketić","Adrani",690,1360,2050,4090,8200,6.5,12,18,35.5,70.5
"Vrbas","Subotica",170,350,520,1040,2090,1.5,3,4.5,9,18
"Vrbas","Žednik",120,230,350,700,1410,1.5,2,3,6,12.5
"Vrbas","Bačka Topola",80,170,250,500,1000,1,1.5,2.5,4.5,9
"Vrbas","Feketić",30,50,80,160,330,0.5,0.5,1,1.5,3
"Vrbas","Zmajevo",40,70,110,210,420,0.5,1,1,2,4
"Vrbas","Novi Sad",80,160,240,480,960,1,1.5,2.5,4.5,8.5
"Vrbas","Kovilj",130,270,400,800,1590,1.5,2.5,3.5,7,14
"Vrbas","Beška",180,350,530,1060,2120,2,3,5,9.5,18.5
"Vrbas","Inđija",200,400,610,1210,2420,2,3.5,5.5,10.5,21
"Vrbas","Beograd",250,500,750,1500,3000,2.5,4.5,6.5,13,26
"Vrbas","Mali Požarevac",300,600,900,1800,3610,3,5.5,8,16,31.5
"Vrbas","Umčari",320,640,950,1910,3820,3.5,6,8.5,17,33.5
"Vrbas","Vodanj",330,670,1000,2010,4010,3.5,6,9,17.5,35
"Vrbas","Kolari",350,700,1050,2110,4220,3.5,6.5,9.5,18.5,36.5
"Vrbas","Smederevo",370,730,1100,2200,4400,4,6.5,9.5,19,38
"Vrbas","Požarevac",370,740,1110,2230,4450,4,7,10,19.5,38.5
"Vrbas","Velika Plana",450,900,1350,2700,5400,4.5,8,12,23.5,47
"Vrbas","Markovac",480,960,1440,2890,5780,4.5,8.5,12.5,25,50
"Vrbas","Lapovo",500,1000,1500,2990,5990,5,9,13,26,52
"Vrbas","Batočina",510,1020,1530,3060,6110,5,9,13.5,26.5,53
"Vrbas","Jagodina",570,1140,1710,3410,6830,5.5,10,15,29.5,59
"Vrbas","Ćuprija",600,1210,1810,3630,7260,5.5,11,16,31.5,62.5
"Vrbas","Paraćin",630,1270,1900,3800,7610,6,11.5,16.5,33,65.5
"Vrbas","Ćićevac",680,1360,2040,4070,8140,6.5,12,18,35,70
"Vrbas","Ražanj",700,1400,2110,4210,8420,6.5,12.5,18.5,36.5,72.5
"Vrbas","Aleksinački Rudnici",760,1520,2280,4560,9110,7,13.5,20,39.5,78.5
"Vrbas","Aleksinac",770,1550,2320,4640,9270,7,13.5,20,40,80
"Vrbas","Niš jug",840,1680,2520,5040,10080,8,15,22,43.5,86.5
"Vrbas","Doljevac",880,1770,2650,5310,10620,8.5,16,23.5,46,91.5
"Vrbas","Brestovac",900,1800,2700,5410,10810,9,16.5,24,47,93
"Vrbas","Leskovac centar",920,1840,2760,5530,11050,9,16.5,24.5,48,95
"Vrbas","Leskovac jug",960,1930,2890,5790,11580,9.5,17.5,25.5,50,99.5
"Vrbas","Grdelica",1000,1990,2990,5970,11950,9.5,18,26.5,51.5,102.5
"Vrbas","Predejane",1040,2080,3120,6240,12480,10,18.5,27.5,54,107.5
"Vrbas","Vladičin Han",1110,2220,3330,6660,13320,10.5,20,29,57.5,114.5
"Vrbas","Vranje",1170,2350,3520,7040,14090,11,21,31,61,121
"Vrbas","Bujanovac sever",1210,2420,3630,7270,14540,11.5,21.5,31.5,63,125
"Vrbas","Bujanovac jug",1220,2440,3670,7330,14660,11.5,21.5,32,63.5,126
"Vrbas","Preševo",1280,2560,3830,7670,15340,12,23,33.5,66,131.5
"Vrbas","Dimitrovgrad",1150,2300,3460,6910,13830,10.5,20,30,59.5,119
"Vrbas","Šid",510,1020,1530,3060,6120,5,9,13.5,26.5,53
"Vrbas","Adaševci",250,500,750,1500,3000,2.5,4.5,6.5,13,26
"Vrbas","Kuzmin",450,900,1340,2690,5370,4.5,8,12,23.5,46.5
